"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,5,1,4,0,0
"2",3,1,2000,5,2,10,4,0
"3",3,1,2000,2,3,12,10,4
"4",3,1,2000,4,4,8,12,10
"5",3,1,2000,2,5,15,8,12
"6",3,1,2000,1,6,12,15,8
"7",3,1,2000,1,7,8,12,15
"8",3,1,2000,5,8,7,8,12
"9",3,1,2000,2,9,4,7,8
"10",3,1,2000,5,10,11,4,7
"11",3,1,2000,4,11,12,11,4
"12",3,1,2000,3,12,3,12,11
"13",3,1,2000,5,13,12,3,12
"14",3,1,2000,4,14,11,12,3
"15",3,1,2000,5,15,14,11,12
"16",3,1,2000,1,16,12,14,11
"17",3,1,2000,5,17,8,12,14
"18",3,1,2000,3,18,7,8,12
"19",3,1,2000,4,19,4,7,8
"20",3,1,2000,3,20,2,4,7
