"","id","time...1","b1.Rsp","b1.CRsp","b1.RT","time...5","b2.Rsp","b2.CRsp","b2.RT","time...9","b3.Rsp","b3.CRsp","b3.RT","time...13","b4.Rsp","b4.CRsp","b4.RT","time...17","b5.Rsp","b5.CRsp","b5.RT","time...21","b6.Rsp","b6.CRsp","b6.RT"
"1","002.csv","2019_5_24_12_53_24.718",1,0,1378,"2019_5_24_13_0_45.122",0,0,0,"2019_5_24_13_8_2.192",0,0,0,"2019_5_24_13_15_21.196",0,0,0,"2019_5_24_13_22_34.281",0,0,0,"2019_5_24_13_29_47.499",1,0,532
"2","002.csv","2019_5_24_12_53_27.753",1,0,407,"2019_5_24_13_0_48.157",1,0,1435,"2019_5_24_13_8_5.226",0,0,0,"2019_5_24_13_15_24.23",0,0,0,"2019_5_24_13_22_37.315",0,0,0,"2019_5_24_13_29_50.533",1,1,282
"3","002.csv","2019_5_24_12_53_30.787",1,0,333,"2019_5_24_13_0_51.191",0,0,0,"2019_5_24_13_8_8.261",0,0,0,"2019_5_24_13_15_27.264",1,1,663,"2019_5_24_13_22_40.349",0,0,0,"2019_5_24_13_29_53.568",1,0,255
"4","002.csv","2019_5_24_12_53_33.821",1,0,363,"2019_5_24_13_0_54.225",0,0,0,"2019_5_24_13_8_11.295",1,0,673,"2019_5_24_13_15_30.298",1,0,981,"2019_5_24_13_22_43.383",0,0,0,"2019_5_24_13_29_56.602",1,0,325
"5","002.csv","2019_5_24_12_53_36.857",1,0,456,"2019_5_24_13_0_57.26",1,1,708,"2019_5_24_13_8_14.329",0,0,0,"2019_5_24_13_15_33.333",0,0,0,"2019_5_24_13_22_46.418",0,0,0,"2019_5_24_13_29_59.636",1,0,291
"6","002.csv","2019_5_24_12_53_39.89",1,0,302,"2019_5_24_13_1_0.294",0,0,0,"2019_5_24_13_8_17.363",0,0,0,"2019_5_24_13_15_36.367",0,0,0,"2019_5_24_13_22_49.452",1,0,883,"2019_5_24_13_30_2.67",1,0,377
"7","002.csv","2019_5_24_12_53_42.924",1,0,308,"2019_5_24_13_1_3.328",0,0,0,"2019_5_24_13_8_20.398",0,0,0,"2019_5_24_13_15_39.401",0,0,0,"2019_5_24_13_22_52.486",0,0,0,"2019_5_24_13_30_5.705",1,0,310
"8","002.csv","2019_5_24_12_53_45.958",1,0,362,"2019_5_24_13_1_6.362",0,0,0,"2019_5_24_13_8_23.432",1,1,1144,"2019_5_24_13_15_42.436",0,0,0,"2019_5_24_13_22_55.521",1,1,727,"2019_5_24_13_30_8.739",1,0,332
"9","002.csv","2019_5_24_12_53_48.993",1,1,312,"2019_5_24_13_1_9.397",1,1,571,"2019_5_24_13_8_26.467",0,0,0,"2019_5_24_13_15_45.47",1,1,801,"2019_5_24_13_22_58.555",0,0,0,"2019_5_24_13_30_11.774",1,0,322
"10","002.csv","2019_5_24_12_53_52.027",1,0,437,"2019_5_24_13_1_12.431",1,1,689,"2019_5_24_13_8_29.501",1,1,867,"2019_5_24_13_15_48.504",0,0,0,"2019_5_24_13_23_1.589",1,1,754,"2019_5_24_13_30_14.808",1,0,311
"11","002.csv","2019_5_24_12_53_55.062",1,0,259,"2019_5_24_13_1_15.465",1,1,559,"2019_5_24_13_8_32.535",1,1,713,"2019_5_24_13_15_51.538",1,1,725,"2019_5_24_13_23_4.623",0,0,0,"2019_5_24_13_30_17.842",1,0,229
"12","002.csv","2019_5_24_12_53_58.096",1,0,361,"2019_5_24_13_1_18.5",0,0,0,"2019_5_24_13_8_35.569",0,0,0,"2019_5_24_13_15_54.573",0,0,0,"2019_5_24_13_23_7.658",1,1,661,"2019_5_24_13_30_20.876",1,1,307
"13","002.csv","2019_5_24_12_54_1.13",1,0,310,"2019_5_24_13_1_21.534",0,0,0,"2019_5_24_13_8_38.604",0,0,0,"2019_5_24_13_15_57.607",0,0,0,"2019_5_24_13_23_10.692",0,0,0,"2019_5_24_13_30_23.91",1,0,289
"14","002.csv","2019_5_24_12_54_4.164",1,0,268,"2019_5_24_13_1_24.568",0,0,0,"2019_5_24_13_8_41.638",1,0,594,"2019_5_24_13_16_0.641",0,0,0,"2019_5_24_13_23_13.726",0,0,0,"2019_5_24_13_30_26.945",1,0,326
