Sub,Session,Procedure[Trial],,Condition,CueCued[SubTrial],CueUncued[SubTrial],Match[SubTrial],Name[SubTrial],Stimulus[SubTrial],Type trial,Stimulus.ACC,Stimulus..CRESP,Stimulus.RESP,Stimulus.RT
1,1,Block1,1,Uncued,4,0,NONMATCH,v1,Y,control,1,3,3,539
1,1,Block1,2,Uncued,2,0,NONMATCH,t1,H,control,1,3,3,391
1,1,Block1,3,Uncued,0,0,NONMATCH,0,W,control,1,3,3,347
1,1,Block1,4,Uncued,0,0,NONMATCH,t2,H,2back,1,3,3,675
1,1,Block1,5,Uncued,0,0,NONMATCH,v2,Y,4back,1,3,3,409
1,1,Block1,6,Uncued,0,0,NONMATCH,d1,S,control,1,3,3,435
1,1,Block1,7,Uncued,0,0,NONMATCH,0,D,control,1,3,3,474
1,1,Block1,8,Uncued,0,0,NONMATCH,d1,R,control,1,3,3,467
1,1,Block1,9,Uncued,0,0,MATCH,d2,S,3back,1,4,4,315
1,1,Block1,10,Uncued,0,0,NONMATCH,0,C,control,1,3,3,237
1,1,Block1,11,Uncued,0,0,MATCH,d2,R,3back,0,4,3,412
1,1,Block1,12,Uncued,0,0,NONMATCH,d1,O,control,1,3,3,362
1,1,Block1,13,Uncued,0,0,NONMATCH,d1,P,control,1,3,3,514
1,1,Block1,14,Uncued,4,0,NONMATCH,v1,K,control,1,3,3,807
1,1,Block1,15,Uncued,0,0,MATCH,d2,O,3back,1,4,4,392
1,1,Block1,16,Uncued,0,0,MATCH,d2,P,3back,0,4,3,501
1,1,Block1,17,Uncued,2,0,NONMATCH,t1,M,control,1,3,3,538
1,1,Block1,18,Uncued,0,0,NONMATCH,v2,K,4back,0,3,4,990
1,1,Block1,19,Uncued,0,0,NONMATCH,t2,M,2back,1,3,3,1040
1,1,Block1,20,Uncued,2,0,NONMATCH,t1,E,control,1,3,3,554
1,1,Block1,21,Uncued,4,0,NONMATCH,v1,J,control,1,3,3,672
1,1,Block1,22,Uncued,0,0,NONMATCH,t2,E,2back,1,3,3,1557
1,1,Block1,23,Uncued,0,0,NONMATCH,0,G,control,1,3,3,524
1,1,Block1,24,Uncued,2,0,NONMATCH,t1,A,control,1,3,3,493
1,1,Block1,25,Uncued,0,0,NONMATCH,v2,J,4back,1,3,3,806
1,1,Block1,26,Uncued,0,0,NONMATCH,t2,A,2back,1,3,3,1165
1,1,Block1,27,Uncued,0,0,NONMATCH,0,U,control,1,3,3,451
1,1,Block1,28,Uncued,4,0,NONMATCH,v1,B,control,1,3,3,428
1,1,Block1,29,Uncued,0,0,NONMATCH,0,T,control,1,3,3,1918
1,1,Block1,30,Uncued,0,0,NONMATCH,0,L,control,1,3,3,544
1,1,Block1,31,Uncued,0,0,NONMATCH,0,Z,control,1,3,3,452
1,1,Block1,32,Uncued,0,0,NONMATCH,v2,B,4back,1,3,3,1016
1,1,Block2,1,Uncued,0,0,NONMATCH,d1,O,control,1,3,3,700
1,1,Block2,2,Uncued,0,0,NONMATCH,0,P,control,1,3,3,369
1,1,Block2,3,Uncued,0,0,NONMATCH,0,U,control,1,3,3,315
1,1,Block2,4,Uncued,0,0,MATCH,d2,O,3back,1,4,4,596
1,1,Block2,5,Uncued,0,0,NONMATCH,d1,B,control,1,3,3,502
1,1,Block2,6,Uncued,0,0,NONMATCH,0,M,control,1,3,3,562
1,1,Block2,7,Uncued,2,0,NONMATCH,t1,L,control,1,3,3,492
1,1,Block2,8,Uncued,0,0,MATCH,d2,B,3back,1,4,4,607
1,1,Block2,9,Uncued,0,0,NONMATCH,t2,L,2back,1,3,3,362
1,1,Block2,10,Uncued,0,0,NONMATCH,d1,T,control,1,3,3,519
1,1,Block2,11,Uncued,0,0,NONMATCH,0,Z,control,1,3,3,739
1,1,Block2,12,Uncued,2,0,NONMATCH,t1,W,control,1,3,3,576
1,1,Block2,13,Uncued,0,0,MATCH,d2,T,3back,0,4,3,903
1,1,Block2,14,Uncued,0,0,NONMATCH,t2,W,2back,1,3,3,842
1,1,Block2,15,Uncued,0,0,NONMATCH,d1,S,control,1,3,3,556
1,1,Block2,16,Uncued,0,0,NONMATCH,0,J,control,1,3,3,531
1,1,Block2,17,Uncued,2,0,NONMATCH,t1,Y,control,1,3,3,539
1,1,Block2,18,Uncued,0,0,MATCH,d2,S,3back,1,4,4,361
1,1,Block2,19,Uncued,0,0,NONMATCH,t2,Y,2back,0,3,4,2322
1,1,Block2,20,Uncued,4,0,NONMATCH,v1,A,control,1,3,3,455
1,1,Block2,21,Uncued,2,0,NONMATCH,t1,C,control,1,3,3,665
1,1,Block2,22,Uncued,4,0,NONMATCH,v1,H,control,1,3,3,608
1,1,Block2,23,Uncued,0,0,NONMATCH,t2,C,2back,1,3,3,913
1,1,Block2,24,Uncued,0,0,NONMATCH,v2,A,4back,1,3,3,500
1,1,Block2,25,Uncued,0,0,NONMATCH,0,R,control,1,3,3,507
1,1,Block2,26,Uncued,0,0,NONMATCH,v2,H,4back,1,3,3,1393
1,1,Block2,27,Uncued,4,0,NONMATCH,v1,E,control,1,3,3,1765
1,1,Block2,28,Uncued,4,0,NONMATCH,v1,D,control,1,3,3,1591
1,1,Block2,29,Uncued,0,0,NONMATCH,0,K,control,1,3,3,482
1,1,Block2,30,Uncued,0,0,NONMATCH,0,G,control,1,3,3,585
1,1,Block2,31,Uncued,0,0,NONMATCH,v2,E,4back,0,3,4,1631
1,1,Block2,32,Uncued,0,0,NONMATCH,v2,D,4back,1,3,3,528
1,1,Block3,1,Cued,0,0,NONMATCH,d1,Y,control,1,3,3,684
1,1,Block3,2,Cued,0,0,NONMATCH,0,P,control,1,3,3,712
1,1,Block3,3,Cued,2,0,NONMATCH,t1,U,control,1,3,3,1810
1,1,Block3,4,Cued,0,0,MATCH,d2,Y,3back,1,4,4,914
1,1,Block3,5,Cued,0,0,NONMATCH,t2,U,2back,1,3,3,552
1,1,Block3,6,Cued,4,0,NONMATCH,v1,D,control,1,3,3,1729
1,1,Block3,7,Cued,0,0,NONMATCH,0,E,control,1,3,3,1355
1,1,Block3,8,Cued,4,0,NONMATCH,v1,S,control,1,3,3,1436
1,1,Block3,9,Cued,0,0,NONMATCH,0,R,control,1,3,3,1208
1,1,Block3,10,Cued,0,0,NONMATCH,v2,D,4back,1,3,3,1383
1,1,Block3,11,Cued,2,0,NONMATCH,t1,M,control,1,3,3,1361
1,1,Block3,12,Cued,0,0,NONMATCH,v2,S,4back,1,3,3,606
1,1,Block3,13,Cued,0,0,NONMATCH,t2,M,2back,1,3,3,1034
1,1,Block3,14,Cued,0,0,NONMATCH,d1,J,control,0,,,0
1,1,Block3,15,Cued,0,0,NONMATCH,0,Z,control,1,3,3,1033
1,1,Block3,16,Cued,0,0,NONMATCH,d1,A,control,1,3,3,590
1,1,Block3,17,Cued,0,0,MATCH,d2,J,3back,1,4,4,848
1,1,Block3,18,Cued,0,0,NONMATCH,0,G,control,1,3,3,508
1,1,Block3,19,Cued,0,0,MATCH,d2,A,3back,1,4,4,1231
1,1,Block3,20,Cued,2,0,NONMATCH,t1,H,control,1,3,3,1879
1,1,Block3,21,Cued,4,0,NONMATCH,v1,K,control,0,3,4,1122
1,1,Block3,22,Cued,0,0,NONMATCH,t2,H,2back,0,3,4,1336
1,1,Block3,23,Cued,0,0,NONMATCH,0,W,control,1,3,3,600
1,1,Block3,24,Cued,2,0,NONMATCH,t1,B,control,1,3,3,782
1,1,Block3,25,Cued,0,0,NONMATCH,v2,K,4back,0,3,4,871
1,1,Block3,26,Cued,0,0,NONMATCH,t2,B,2back,0,3,4,1225
1,1,Block3,27,Cued,0,0,NONMATCH,d1,O,control,1,3,3,1011
1,1,Block3,28,Cued,4,0,NONMATCH,v1,L,control,1,3,3,571
1,1,Block3,29,Cued,0,0,NONMATCH,0,T,control,1,3,3,565
1,1,Block3,30,Cued,0,0,MATCH,d2,O,3back,1,4,4,1519
1,1,Block3,31,Cued,0,0,NONMATCH,0,C,control,1,3,3,384
1,1,Block3,32,Cued,0,0,NONMATCH,v2,L,4back,1,3,3,835
1,1,Block4,1,Cued,4,0,NONMATCH,v1,L,control,1,3,3,1454
1,1,Block4,2,Cued,4,0,NONMATCH,v1,K,control,1,3,3,1305
1,1,Block4,3,Cued,0,0,NONMATCH,0,W,control,1,3,3,896
1,1,Block4,4,Cued,0,0,NONMATCH,d1,Y,control,1,3,3,535
1,1,Block4,5,Cued,0,0,NONMATCH,v2,L,4back,1,3,3,886
1,1,Block4,6,Cued,0,0,NONMATCH,v2,K,4back,1,3,3,825
1,1,Block4,7,Cued,0,0,MATCH,d2,Y,3back,0,4,3,935
1,1,Block4,8,Cued,0,0,NONMATCH,0,R,control,1,3,3,961
1,1,Block4,9,Cued,0,0,NONMATCH,d1,P,control,1,3,3,1001
1,1,Block4,10,Cued,0,0,NONMATCH,0,U,control,1,3,3,1418
1,1,Block4,11,Cued,2,0,NONMATCH,t1,O,control,1,3,3,1152
1,1,Block4,12,Cued,0,0,MATCH,d2,P,3back,0,4,3,2735
1,1,Block4,13,Cued,0,0,NONMATCH,t2,O,2back,0,3,4,1303
1,1,Block4,14,Cued,0,0,NONMATCH,d1,E,control,1,3,3,1222
1,1,Block4,15,Cued,0,0,NONMATCH,0,T,control,1,3,3,940
1,1,Block4,16,Cued,4,0,NONMATCH,v1,S,control,1,3,3,1733
1,1,Block4,17,Cued,0,0,MATCH,d2,E,3back,0,4,3,1007
1,1,Block4,18,Cued,0,0,NONMATCH,0,B,control,1,3,3,568
1,1,Block4,19,Cued,2,0,NONMATCH,t1,Z,control,1,3,3,577
1,1,Block4,20,Cued,0,0,NONMATCH,v2,S,4back,1,3,3,1050
1,1,Block4,21,Cued,0,0,NONMATCH,t2,Z,2back,0,3,4,1486
1,1,Block4,22,Cued,2,0,NONMATCH,t1,C,control,1,3,3,812
1,1,Block4,23,Cued,4,0,NONMATCH,v1,A,control,1,3,3,722
1,1,Block4,24,Cued,0,0,NONMATCH,t2,C,2back,1,3,3,852
1,1,Block4,25,Cued,0,0,NONMATCH,0,D,control,1,3,3,1007
1,1,Block4,26,Cued,0,0,NONMATCH,d1,J,control,1,3,3,1275
1,1,Block4,27,Cued,0,0,NONMATCH,v2,A,4back,0,,,0
1,1,Block4,28,Cued,0,0,NONMATCH,0,G,control,1,3,3,125
1,1,Block4,29,Cued,0,0,MATCH,d2,J,3back,0,4,3,703
1,1,Block4,30,Cued,2,0,NONMATCH,t1,H,control,1,3,3,692
1,1,Block4,31,Cued,0,0,NONMATCH,0,M,control,1,3,3,1019
1,1,Block4,32,Cued,0,0,NONMATCH,t2,H,2back,1,3,3,1089
2,1,Block1,1,Uncued,0,0,NONMATCH,d1,W,control,1,4,4,1003
2,1,Block1,2,Uncued,4,0,NONMATCH,v1,U,control,1,4,4,970
2,1,Block1,3,Uncued,0,0,NONMATCH,0,O,control,1,4,4,1330
2,1,Block1,4,Uncued,0,0,MATCH,d2,W,3back,1,3,3,880
2,1,Block1,5,Uncued,2,0,NONMATCH,t1,Z,control,1,4,4,1355
2,1,Block1,6,Uncued,0,0,NONMATCH,v2,U,4back,0,4,,0
2,1,Block1,7,Uncued,0,0,NONMATCH,t2,Z,2back,0,4,3,1713
2,1,Block1,8,Uncued,0,0,NONMATCH,d1,A,control,1,4,4,1400
2,1,Block1,9,Uncued,0,0,NONMATCH,0,Y,control,1,4,4,1122
2,1,Block1,10,Uncued,2,0,NONMATCH,t1,T,control,1,4,4,1302
2,1,Block1,11,Uncued,0,0,MATCH,d2,A,3back,0,3,4,1482
2,1,Block1,12,Uncued,0,0,NONMATCH,t2,T,2back,0,4,,0
2,1,Block1,13,Uncued,0,0,NONMATCH,d1,J,control,1,4,4,922
2,1,Block1,14,Uncued,0,0,NONMATCH,0,L,control,1,4,4,1056
2,1,Block1,15,Uncued,4,0,NONMATCH,v1,S,control,1,4,4,866
